,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
3320,Rifaina,Estadual,5.1,4.7,4.9,5.5,4.7,"4,6","4,8","5,1","5,4",6º ao 9º ano,3543600.0,True,False,False
3323,Rifaina,Pública,5.1,4.7,4.9,5.5,4.7,"4,6","4,8","5,1","5,4",6º ao 9º ano,3543600.0,True,False,False
3328,Rincão,Municipal,5.1,5.9,5.6,5.5,6.1,"5,6","5,9","6,1","6,4",1º ao 5º ano,3543709.0,False,True,False
3329,Rincão,Pública,5.1,5.9,5.6,5.5,6.1,"5,6","5,9","6,1","6,4",1º ao 5º ano,3543709.0,False,True,False
3330,Rincão,Pública,4.5,3.6,3.8,4.5,4.4,"5,2","5,5","5,7","5,9",6º ao 9º ano,3543709.0,True,False,False
3333,Rinópolis,Estadual,6.5,6.4,6.7,6.0,6.3,"5,5","5,8",6,"6,3",1º ao 5º ano,3543808.0,False,True,False
3334,Rinópolis,Estadual,5.0,4.8,5.6,5.4,5.2,"5,1","5,3","5,5","5,8",6º ao 9º ano,3543808.0,True,False,False
3335,Rinópolis,Pública,6.6,6.4,6.7,6.0,6.3,"5,5","5,8",6,"6,3",1º ao 5º ano,3543808.0,False,True,False
3336,Rinópolis,Pública,5.0,4.8,5.6,5.4,5.2,"5,1","5,3","5,5","5,8",6º ao 9º ano,3543808.0,True,False,False
3340,Rio Claro,Estadual,7.2,7.5,7.7,6.7,7.1,6,"6,2","6,5","6,7",1º ao 5º ano,3543907.0,False,True,False
3341,Rio Claro,Estadual,4.3,5.3,5.6,5.5,5.4,"5,8","6,1","6,3","6,5",6º ao 9º ano,3543907.0,True,False,False
3342,Rio Claro,Municipal,6.6,6.8,6.7,6.1,6.2,"6,4","6,6","6,8","7,1",1º ao 5º ano,3543907.0,False,True,False
3343,Rio Claro,Pública,6.6,6.8,6.7,6.1,6.3,"6,4","6,6","6,8",7,1º ao 5º ano,3543907.0,False,True,False
3344,Rio Claro,Pública,4.4,5.3,5.6,5.5,5.4,"5,8","6,1","6,3","6,5",6º ao 9º ano,3543907.0,True,False,False
3348,Rio das Pedras,Estadual,4.8,4.8,4.9,5.7,5.7,"5,2","5,4","5,7","5,9",6º ao 9º ano,3544004.0,True,False,False
3349,Rio das Pedras,Municipal,4.3,5.0,5.1,5.6,5.3,"4,9","5,1","5,4","5,6",6º ao 9º ano,3544004.0,True,False,False
3350,Rio das Pedras,Municipal,5.7,6.2,6.5,6.0,6.6,"5,4","5,7",6,"6,2",1º ao 5º ano,3544004.0,False,True,False
