,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
1188,Estado São Paulo,Privada,5.6,5.9,6.1,6.2,5.9,"6,5","6,8",7,"7,2",Ensino médio,,False,False,True
1189,Estado São Paulo,Estadual,6.4,6.5,6.6,6.1,6.2,"5,8","6,1","6,3","6,6",1º ao 5º ano,,False,True,False
1190,Estado São Paulo,Estadual,4.7,4.8,5.2,5.3,5.1,5,"5,3","5,5","5,8",6º ao 9º ano,,True,False,False
1191,Estado São Paulo,Pública,6.2,6.5,6.5,6.1,6.2,"5,8","6,1","6,3","6,6",1º ao 5º ano,,False,True,False
1192,Estado São Paulo,Pública,3.9,3.8,4.3,4.4,4.2,"4,2","4,6","4,9","5,1",Ensino médio,,False,False,True
1193,Estado São Paulo,Pública,4.7,4.9,5.2,5.3,5.1,"5,1","5,3","5,6","5,8",6º ao 9º ano,,True,False,False
1196,Estiva Gerbi,Municipal,4.9,4.8,4.9,4.9,4.6,"5,7","5,9","6,1","6,4",6º ao 9º ano,3557303.0,True,False,False
1197,Estiva Gerbi,Municipal,6.1,6.6,5.6,5.7,6.0,"6,2","6,5","6,7","6,9",1º ao 5º ano,3557303.0,False,True,False
1198,Estiva Gerbi,Pública,6.1,6.6,5.6,5.7,6.0,"6,2","6,5","6,7","6,9",1º ao 5º ano,3557303.0,False,True,False
1199,Estiva Gerbi,Pública,4.9,4.8,4.9,4.9,4.6,"5,7","5,9","6,1","6,4",6º ao 9º ano,3557303.0,True,False,False
1202,Estrela do Norte,Estadual,5.9,5.4,5.0,5.5,5.2,"5,5","5,7","5,9","6,2",6º ao 9º ano,3515301.0,True,False,False
1203,Estrela do Norte,Municipal,6.2,6.7,6.2,6.4,7.0,"5,4","5,7","5,9","6,2",1º ao 5º ano,3515301.0,False,True,False
1204,Estrela do Norte,Pública,6.2,6.7,6.2,6.4,7.0,"5,4","5,7","5,9","6,2",1º ao 5º ano,3515301.0,False,True,False
1205,Estrela do Norte,Pública,5.9,5.4,5.0,5.5,5.2,"5,5","5,7","5,9","6,2",6º ao 9º ano,3515301.0,True,False,False
1208,Estrela d'Oeste,Estadual,5.2,5.3,5.4,5.6,5.4,"5,8",6,"6,3","6,5",6º ao 9º ano,3515202.0,True,False,False
1209,Estrela d'Oeste,Municipal,7.0,7.0,6.9,6.7,6.4,"6,9","7,1","7,3","7,5",1º ao 5º ano,3515202.0,False,True,False
1210,Estrela d'Oeste,Pública,7.0,7.0,6.9,6.7,6.4,"6,9","7,1","7,3","7,5",1º ao 5º ano,3515202.0,False,True,False
1211,Estrela d'Oeste,Pública,5.2,5.3,5.4,5.6,5.4,"5,8",6,"6,3","6,5",6º ao 9º ano,3515202.0,True,False,False
1214,Euclides da Cunha Paulista,Estadual,4.9,5.0,5.0,5.3,5.5,"5,5","5,7",6,"6,2",6º ao 9º ano,3515350.0,True,False,False
1215,Euclides da Cunha Paulista,Municipal,5.6,6.3,6.7,6.0,6.1,"5,3","5,6","5,9","6,1",1º ao 5º ano,3515350.0,False,True,False
1216,Euclides da Cunha Paulista,Pública,5.6,6.3,6.7,6.0,6.1,"5,3","5,6","5,9","6,1",1º ao 5º ano,3515350.0,False,True,False
1217,Euclides da Cunha Paulista,Pública,4.9,5.0,5.0,5.3,5.5,"5,5","5,7",6,"6,2",6º ao 9º ano,3515350.0,True,False,False
1220,Fartura,Estadual,5.6,5.7,5.7,5.8,5.8,"6,4","6,6","6,8",7,6º ao 9º ano,3515400.0,True,False,False
1221,Fartura,Municipal,7.3,7.5,7.4,6.5,7.4,"6,9","7,1","7,2","7,4",1º ao 5º ano,3515400.0,False,True,False
1222,Fartura,Pública,7.3,7.5,7.4,6.5,7.4,"6,9","7,1","7,2","7,4",1º ao 5º ano,3515400.0,False,True,False
1223,Fartura,Pública,5.6,5.7,5.7,5.8,5.8,"6,4","6,6","6,8",7,6º ao 9º ano,3515400.0,True,False,False
1227,Fernando Prestes,Municipal,5.4,5.8,5.8,6.0,5.8,"6,1","6,3","6,5","6,7",6º ao 9º ano,3515608.0,True,False,False
1228,Fernando Prestes,Municipal,6.5,6.3,6.8,6.7,8.3,"7,1","7,3","7,4","7,6",1º ao 5º ano,3515608.0,False,True,False
1229,Fernando Prestes,Pública,6.5,6.3,6.8,6.7,8.3,"7,1","7,3","7,4","7,6",1º ao 5º ano,3515608.0,False,True,False
1230,Fernando Prestes,Pública,5.4,5.8,5.8,6.0,5.8,"5,9","6,2","6,4","6,6",6º ao 9º ano,3515608.0,True,False,False
1233,Fernandópolis,Estadual,6.8,6.1,6.1,5.7,6.7,"6,6","6,9","7,1","7,3",1º ao 5º ano,3515509.0,False,True,False
1234,Fernandópolis,Estadual,5.3,5.4,5.4,5.7,5.8,"5,7",6,"6,2","6,4",6º ao 9º ano,3515509.0,True,False,False
1236,Fernandópolis,Municipal,6.5,6.5,6.6,6.4,6.3,"6,6","6,9","7,1","7,3",1º ao 5º ano,3515509.0,False,True,False
1237,Fernandópolis,Pública,6.5,6.5,6.5,6.3,6.3,"6,6","6,9","7,1","7,3",1º ao 5º ano,3515509.0,False,True,False
1238,Fernandópolis,Pública,5.2,5.3,5.4,5.7,5.8,"5,7","5,9","6,1","6,4",6º ao 9º ano,3515509.0,True,False,False
1241,Fernão,Estadual,5.5,6.0,5.8,5.7,5.5,"5,2","5,5","5,7",6,6º ao 9º ano,3515657.0,True,False,False
1242,Fernão,Municipal,6.0,6.7,6.5,5.4,6.9,6,"6,2","6,5","6,7",1º ao 5º ano,3515657.0,False,True,False
1243,Fernão,Pública,6.0,6.7,6.5,5.4,6.9,6,"6,2","6,5","6,7",1º ao 5º ano,3515657.0,False,True,False
1244,Fernão,Pública,5.5,6.0,5.8,5.7,5.5,"5,2","5,5","5,7",6,6º ao 9º ano,3515657.0,True,False,False
1249,Ferraz de Vasconcelos,Estadual,4.5,4.6,4.9,5.0,4.9,5,"5,2","5,5","5,7",6º ao 9º ano,3515707.0,True,False,False
1250,Ferraz de Vasconcelos,Municipal,5.9,6.1,6.1,5.9,6.1,"5,7",6,"6,2","6,5",1º ao 5º ano,3515707.0,False,True,False
1251,Ferraz de Vasconcelos,Pública,5.9,6.1,6.1,5.9,6.1,"5,6","5,9","6,1","6,4",1º ao 5º ano,3515707.0,False,True,False
1252,Ferraz de Vasconcelos,Pública,4.4,4.6,4.9,5.0,5.0,5,"5,2","5,5","5,7",6º ao 9º ano,3515707.0,True,False,False
1262,Floreal,Municipal,6.6,7.7,8.2,8.3,9.3,"6,7","6,9","7,1","7,3",1º ao 5º ano,3515905.0,False,True,False
1263,Floreal,Pública,6.6,7.7,8.2,8.3,9.3,"6,7","6,9","7,1","7,3",1º ao 5º ano,3515905.0,False,True,False
1268,Flórida Paulista,Estadual,4.3,4.1,5.2,4.5,5.2,"5,2","5,5","5,7",6,6º ao 9º ano,3516002.0,True,False,False
1269,Flórida Paulista,Municipal,6.7,6.2,6.8,6.4,6.0,"6,4","6,6","6,8",7,1º ao 5º ano,3516002.0,False,True,False
1270,Flórida Paulista,Pública,6.7,6.2,6.8,6.4,6.0,"5,6","5,8","6,1","6,4",1º ao 5º ano,3516002.0,False,True,False
1271,Flórida Paulista,Pública,4.3,4.1,5.2,4.5,5.2,"5,2","5,5","5,7",6,6º ao 9º ano,3516002.0,True,False,False
1274,Florínea,Estadual,6.7,7.6,6.5,6.5,6.4,"5,9","6,2","6,4","6,6",1º ao 5º ano,3516101.0,False,True,False
1275,Florínea,Estadual,5.3,4.4,5.3,5.6,5.2,"5,9","6,1","6,3","6,5",6º ao 9º ano,3516101.0,True,False,False
1276,Florínea,Pública,6.7,7.6,6.5,6.5,6.4,"5,9","6,2","6,4","6,6",1º ao 5º ano,3516101.0,False,True,False
1277,Florínea,Pública,5.3,4.4,5.3,5.6,5.2,"5,9","6,1","6,3","6,5",6º ao 9º ano,3516101.0,True,False,False
1280,Franca,Estadual,7.1,7.3,7.3,6.8,7.1,"6,6","6,8",7,"7,2",1º ao 5º ano,3516200.0,False,True,False
1281,Franca,Estadual,4.9,5.3,5.6,5.6,5.6,"5,9","6,1","6,3","6,6",6º ao 9º ano,3516200.0,True,False,False
1282,Franca,Municipal,6.9,7.1,7.0,6.3,6.9,"6,2","6,4","6,7","6,9",1º ao 5º ano,3516200.0,False,True,False
1283,Franca,Pública,7.1,7.2,7.1,6.5,7.0,"6,5","6,7","6,9","7,1",1º ao 5º ano,3516200.0,False,True,False
1284,Franca,Pública,4.9,5.3,5.6,5.6,5.6,"5,9","6,1","6,3","6,6",6º ao 9º ano,3516200.0,True,False,False
1287,Francisco Morato,Estadual,5.9,6.1,5.7,5.3,5.6,"5,5","5,7",6,"6,3",1º ao 5º ano,3516309.0,False,True,False
1288,Francisco Morato,Estadual,4.6,4.5,5.0,5.0,4.8,"5,1","5,3","5,6","5,8",6º ao 9º ano,3516309.0,True,False,False
1289,Francisco Morato,Municipal,5.5,5.8,6.2,5.7,5.9,"5,7","5,9","6,2","6,4",1º ao 5º ano,3516309.0,False,True,False
1290,Francisco Morato,Pública,5.5,5.8,6.1,5.7,5.9,"5,6","5,9","6,1","6,4",1º ao 5º ano,3516309.0,False,True,False
1291,Francisco Morato,Pública,4.6,4.5,5.0,5.0,4.8,"5,1","5,3","5,6","5,8",6º ao 9º ano,3516309.0,True,False,False
1295,Franco da Rocha,Estadual,5.9,6.2,6.2,5.6,5.4,"5,6","5,9","6,2","6,4",1º ao 5º ano,3516408.0,False,True,False
1296,Franco da Rocha,Estadual,4.5,4.6,5.0,5.0,4.8,5,"5,2","5,5","5,7",6º ao 9º ano,3516408.0,True,False,False
1297,Franco da Rocha,Municipal,5.7,5.8,5.7,5.7,5.9,"5,7",6,"6,2","6,5",1º ao 5º ano,3516408.0,False,True,False
1298,Franco da Rocha,Pública,5.7,5.9,5.8,5.7,5.8,"5,6","5,9","6,1","6,4",1º ao 5º ano,3516408.0,False,True,False
1299,Franco da Rocha,Pública,4.5,4.6,5.0,5.0,4.8,5,"5,2","5,5","5,7",6º ao 9º ano,3516408.0,True,False,False
1310,Gália,Municipal,6.7,6.2,6.4,5.8,6.0,"6,6","6,9","7,1","7,3",1º ao 5º ano,3516606.0,False,True,False
1311,Gália,Pública,6.7,6.2,6.4,5.8,6.0,6,"6,3","6,5","6,8",1º ao 5º ano,3516606.0,False,True,False
1316,Garça,Estadual,5.0,4.9,5.2,5.0,5.1,"5,1","5,4","5,6","5,9",6º ao 9º ano,3516705.0,True,False,False
1317,Garça,Municipal,6.0,6.1,6.2,6.0,6.4,6,"6,3","6,5","6,7",1º ao 5º ano,3516705.0,False,True,False
1318,Garça,Pública,6.0,6.1,6.2,6.0,6.4,"6,4","6,6","6,8",7,1º ao 5º ano,3516705.0,False,True,False
1319,Garça,Pública,5.0,4.9,5.2,5.0,5.1,"5,1","5,4","5,6","5,9",6º ao 9º ano,3516705.0,True,False,False
1322,Gastão Vidigal,Estadual,6.3,6.8,5.9,6.7,6.3,"6,3","6,5","6,8",7,1º ao 5º ano,3516804.0,False,True,False
1323,Gastão Vidigal,Estadual,5.0,5.1,5.7,5.6,5.1,"6,2","6,4","6,6","6,8",6º ao 9º ano,3516804.0,True,False,False
1324,Gastão Vidigal,Pública,6.3,6.8,5.9,6.7,6.3,"6,3","6,5","6,8",7,1º ao 5º ano,3516804.0,False,True,False
1325,Gastão Vidigal,Pública,5.0,5.1,5.7,5.6,5.1,"6,2","6,4","6,6","6,8",6º ao 9º ano,3516804.0,True,False,False
1333,Gavião Peixoto,Pública,4.5,4.2,4.2,5.8,5.3,"5,9","6,1","6,3","6,5",6º ao 9º ano,3516853.0,True,False,False
1338,General Salgado,Municipal,4.7,5.4,5.0,5.5,5.4,"5,7","5,9","6,1","6,3",6º ao 9º ano,3516903.0,True,False,False
1339,General Salgado,Municipal,5.9,6.5,6.2,6.3,6.5,"6,7","6,9","7,1","7,3",1º ao 5º ano,3516903.0,False,True,False
1340,General Salgado,Pública,6.0,6.5,6.1,6.3,6.4,"6,7","6,9","7,1","7,3",1º ao 5º ano,3516903.0,False,True,False
1341,General Salgado,Pública,4.7,5.4,5.1,5.5,5.4,"5,6","5,8","6,1","6,3",6º ao 9º ano,3516903.0,True,False,False
1345,Getulina,Estadual,4.3,4.4,4.7,5.1,4.5,"5,1","5,3","5,6","5,8",6º ao 9º ano,3517000.0,True,False,False
1346,Getulina,Municipal,5.4,6.1,6.2,5.5,5.2,"5,5","5,7",6,"6,2",1º ao 5º ano,3517000.0,False,True,False
1347,Getulina,Pública,5.4,6.1,6.2,5.5,5.2,"5,4","5,7","5,9","6,2",1º ao 5º ano,3517000.0,False,True,False
1348,Getulina,Pública,4.3,4.4,4.7,5.1,4.5,"5,1","5,3","5,6","5,8",6º ao 9º ano,3517000.0,True,False,False
1351,Glicério,Estadual,4.6,4.4,5.3,5.5,4.6,"5,5","5,7","5,9","6,2",6º ao 9º ano,3517109.0,True,False,False
1352,Glicério,Municipal,6.6,7.1,7.2,6.7,7.0,"5,8","6,1","6,3","6,6",1º ao 5º ano,3517109.0,False,True,False
1353,Glicério,Pública,6.6,7.1,7.2,6.7,7.0,"5,8","6,1","6,3","6,6",1º ao 5º ano,3517109.0,False,True,False
1354,Glicério,Pública,4.6,4.4,5.3,5.5,4.6,"5,5","5,7","5,9","6,2",6º ao 9º ano,3517109.0,True,False,False
1358,Guaiçara,Estadual,4.3,4.4,4.4,5.3,5.3,"5,2","5,4","5,7","5,9",6º ao 9º ano,3517208.0,True,False,False
1359,Guaiçara,Municipal,5.9,6.3,6.3,5.8,6.1,"6,2","6,4","6,7","6,9",1º ao 5º ano,3517208.0,False,True,False
1360,Guaiçara,Pública,5.9,6.3,6.3,5.8,6.1,"5,7",6,"6,2","6,5",1º ao 5º ano,3517208.0,False,True,False
1361,Guaiçara,Pública,4.3,4.4,4.4,5.3,5.3,"5,2","5,4","5,7","5,9",6º ao 9º ano,3517208.0,True,False,False
1364,Guaimbê,Estadual,4.2,4.0,5.2,4.5,4.7,"4,8",5,"5,3","5,5",6º ao 9º ano,3517307.0,True,False,False
1365,Guaimbê,Municipal,6.1,6.1,6.6,5.6,6.5,"5,4","5,6","5,9","6,2",1º ao 5º ano,3517307.0,False,True,False
1366,Guaimbê,Pública,6.1,6.1,6.6,5.6,6.5,"5,4","5,6","5,9","6,2",1º ao 5º ano,3517307.0,False,True,False
1367,Guaimbê,Pública,4.2,4.0,5.2,4.5,4.7,"4,8",5,"5,3","5,5",6º ao 9º ano,3517307.0,True,False,False
1370,Guaíra,Estadual,5.1,5.1,5.2,4.8,5.1,"5,5","5,7","5,9","6,2",6º ao 9º ano,3517406.0,True,False,False
1371,Guaíra,Municipal,6.6,6.5,6.9,6.1,6.0,"5,8","6,1","6,3","6,6",1º ao 5º ano,3517406.0,False,True,False
1372,Guaíra,Pública,6.6,6.5,6.9,6.1,6.0,"5,8","6,1","6,3","6,6",1º ao 5º ano,3517406.0,False,True,False
1373,Guaíra,Pública,5.1,5.1,5.2,4.8,5.1,"5,5","5,7","5,9","6,2",6º ao 9º ano,3517406.0,True,False,False
1377,Guapiaçu,Municipal,5.8,6.4,6.0,5.6,6.0,6,"6,2","6,5","6,7",1º ao 5º ano,3517505.0,False,True,False
1378,Guapiaçu,Pública,5.8,6.4,6.0,5.6,6.0,6,"6,2","6,5","6,7",1º ao 5º ano,3517505.0,False,True,False
1383,Guapiara,Estadual,5.1,5.3,5.2,4.8,4.8,"5,7","5,9","6,1","6,3",6º ao 9º ano,3517604.0,True,False,False
1385,Guapiara,Municipal,6.0,6.1,6.1,5.6,6.2,"6,2","6,4","6,6","6,9",1º ao 5º ano,3517604.0,False,True,False
1386,Guapiara,Pública,6.0,6.1,6.1,5.6,6.2,"6,2","6,4","6,6","6,9",1º ao 5º ano,3517604.0,False,True,False
1387,Guapiara,Pública,5.0,5.2,5.3,5.0,5.0,"5,6","5,8","6,1","6,3",6º ao 9º ano,3517604.0,True,False,False
1392,Guará,Municipal,6.1,6.5,6.5,5.6,6.1,"5,8",6,"6,3","6,5",1º ao 5º ano,3517703.0,False,True,False
1393,Guará,Pública,6.1,6.5,6.5,5.6,6.1,"5,8",6,"6,3","6,5",1º ao 5º ano,3517703.0,False,True,False
1397,Guaraçaí,Estadual,4.5,5.1,5.4,5.6,5.5,"5,4","5,7","5,9","6,1",6º ao 9º ano,3517802.0,True,False,False
1398,Guaraçaí,Municipal,7.0,6.7,7.1,5.7,6.9,"6,1","6,4","6,6","6,8",1º ao 5º ano,3517802.0,False,True,False
1399,Guaraçaí,Pública,7.0,6.7,7.1,5.7,6.9,"6,1","6,4","6,6","6,8",1º ao 5º ano,3517802.0,False,True,False
1400,Guaraçaí,Pública,4.5,5.1,5.4,5.6,5.5,"5,4","5,7","5,9","6,1",6º ao 9º ano,3517802.0,True,False,False
1405,Guaraci,Municipal,6.5,6.3,6.4,6.2,6.4,"6,7","6,9","7,1","7,3",1º ao 5º ano,3517901.0,False,True,False
1406,Guaraci,Pública,6.5,6.3,6.4,6.2,6.4,"6,7","6,9","7,1","7,3",1º ao 5º ano,3517901.0,False,True,False
1411,Guarani d'Oeste,Estadual,5.1,6.0,6.1,5.8,5.1,"5,1","5,3","5,6","5,8",6º ao 9º ano,3518008.0,True,False,False
1412,Guarani d'Oeste,Municipal,6.9,7.1,7.4,7.1,7.2,"6,4","6,6","6,8","7,1",1º ao 5º ano,3518008.0,False,True,False
1413,Guarani d'Oeste,Pública,6.9,7.1,7.4,7.1,7.2,"6,2","6,4","6,6","6,9",1º ao 5º ano,3518008.0,False,True,False
1414,Guarani d'Oeste,Pública,5.1,6.0,6.1,5.8,5.1,"5,1","5,3","5,6","5,8",6º ao 9º ano,3518008.0,True,False,False
1420,Guarantã,Pública,5.8,5.7,5.5,5.5,5.7,6,"6,2","6,5","6,7",1º ao 5º ano,3518107.0,False,True,False
1425,Guararapes,Estadual,4.9,5.0,5.2,5.4,5.6,"5,8",6,"6,2","6,5",6º ao 9º ano,3518206.0,True,False,False
1426,Guararapes,Municipal,6.6,7.0,6.7,6.4,6.6,"5,8","6,1","6,3","6,6",1º ao 5º ano,3518206.0,False,True,False
1427,Guararapes,Pública,6.6,7.0,6.7,6.4,6.6,6,"6,2","6,5","6,7",1º ao 5º ano,3518206.0,False,True,False
1428,Guararapes,Pública,4.9,5.0,5.2,5.4,5.6,"5,8",6,"6,2","6,5",6º ao 9º ano,3518206.0,True,False,False
1432,Guararema,Estadual,4.5,4.7,4.9,5.0,5.1,"5,1","5,3","5,6","5,8",6º ao 9º ano,3518305.0,True,False,False
1433,Guararema,Municipal,6.6,6.6,7.2,6.7,7.5,"5,8",6,"6,3","6,5",1º ao 5º ano,3518305.0,False,True,False
1434,Guararema,Pública,6.6,6.6,7.2,6.7,7.5,"6,3","6,5","6,7","6,9",1º ao 5º ano,3518305.0,False,True,False
1435,Guararema,Pública,4.5,4.7,4.9,5.0,5.1,"5,1","5,3","5,6","5,8",6º ao 9º ano,3518305.0,True,False,False
1439,Guaratinguetá,Estadual,4.6,4.6,5.1,5.4,5.3,"5,3","5,5","5,8",6,6º ao 9º ano,3518404.0,True,False,False
1440,Guaratinguetá,Municipal,5.0,4.7,5.2,5.5,5.4,"5,3","5,6","5,8",6,6º ao 9º ano,3518404.0,True,False,False
1441,Guaratinguetá,Municipal,5.8,6.3,6.6,6.4,6.4,"5,8",6,"6,3","6,5",1º ao 5º ano,3518404.0,False,True,False
1442,Guaratinguetá,Pública,5.8,6.3,6.6,6.4,6.4,6,"6,2","6,5","6,7",1º ao 5º ano,3518404.0,False,True,False
1443,Guaratinguetá,Pública,4.7,4.6,5.1,5.4,5.3,"5,3","5,5","5,8",6,6º ao 9º ano,3518404.0,True,False,False
1447,Guareí,Estadual,5.0,4.9,5.1,4.9,5.4,"4,8","5,1","5,4","5,6",6º ao 9º ano,3518503.0,True,False,False
1448,Guareí,Municipal,6.4,6.6,6.3,6.3,6.3,"5,6","5,9","6,1","6,4",1º ao 5º ano,3518503.0,False,True,False
1449,Guareí,Pública,6.4,6.6,6.3,6.3,6.3,"5,3","5,6","5,8","6,1",1º ao 5º ano,3518503.0,False,True,False
1450,Guareí,Pública,5.0,4.9,5.1,4.9,5.4,"4,8","5,1","5,4","5,6",6º ao 9º ano,3518503.0,True,False,False
1454,Guariba,Municipal,4.8,5.0,5.5,5.4,5.7,"5,3","5,5","5,7",6,6º ao 9º ano,3518602.0,True,False,False
1455,Guariba,Municipal,6.0,6.3,6.7,6.2,6.8,"5,6","5,9","6,1","6,4",1º ao 5º ano,3518602.0,False,True,False
1456,Guariba,Pública,6.0,6.3,6.7,6.2,6.8,"5,6","5,9","6,1","6,4",1º ao 5º ano,3518602.0,False,True,False
1457,Guariba,Pública,4.8,5.0,5.5,5.4,5.7,"5,4","5,6","5,9","6,1",6º ao 9º ano,3518602.0,True,False,False
1460,Guarujá,Estadual,5.7,5.8,6.0,5.5,5.5,"5,5","5,8","6,1","6,3",1º ao 5º ano,3518701.0,False,True,False
1461,Guarujá,Estadual,4.1,4.5,5.1,4.9,4.9,"4,7",5,"5,2","5,5",6º ao 9º ano,3518701.0,True,False,False
1462,Guarujá,Municipal,4.8,5.2,5.4,5.1,4.9,"5,1","5,3","5,6","5,8",6º ao 9º ano,3518701.0,True,False,False
1463,Guarujá,Municipal,6.1,6.2,6.1,5.8,5.9,"5,5","5,8",6,"6,3",1º ao 5º ano,3518701.0,False,True,False
1464,Guarujá,Pública,6.0,6.0,6.1,5.7,5.8,"5,5","5,8",6,"6,3",1º ao 5º ano,3518701.0,False,True,False
1465,Guarujá,Pública,4.4,4.8,5.2,5.0,4.9,"4,8","5,1","5,4","5,6",6º ao 9º ano,3518701.0,True,False,False
1469,Guarulhos,Estadual,6.3,6.6,6.7,6.3,6.3,"5,7","5,9","6,2","6,4",1º ao 5º ano,3518800.0,False,True,False
1470,Guarulhos,Estadual,4.6,4.7,5.0,5.1,5.0,"4,9","5,1","5,4","5,6",6º ao 9º ano,3518800.0,True,False,False
1471,Guarulhos,Municipal,6.0,6.2,6.3,5.6,5.8,"5,5","5,8","6,1","6,3",1º ao 5º ano,3518800.0,False,True,False
1472,Guarulhos,Pública,6.2,6.3,6.4,5.8,6.0,"5,6","5,9","6,1","6,4",1º ao 5º ano,3518800.0,False,True,False
1473,Guarulhos,Pública,4.6,4.7,5.0,5.1,5.0,"4,9","5,1","5,4","5,6",6º ao 9º ano,3518800.0,True,False,False
1477,Guatapará,Municipal,6.1,5.6,5.7,5.5,6.0,"5,5","5,7",6,"6,3",1º ao 5º ano,3518859.0,False,True,False
1478,Guatapará,Pública,6.1,5.6,5.7,5.5,6.0,"5,5","5,7",6,"6,3",1º ao 5º ano,3518859.0,False,True,False
1483,Guzolândia,Estadual,5.1,5.5,5.5,6.0,5.8,"5,8",6,"6,2","6,4",6º ao 9º ano,3518909.0,True,False,False
1484,Guzolândia,Municipal,7.2,7.5,7.2,5.8,7.0,"6,3","6,6","6,8",7,1º ao 5º ano,3518909.0,False,True,False
1485,Guzolândia,Pública,7.2,7.5,7.2,5.8,7.0,6,"6,3","6,5","6,7",1º ao 5º ano,3518909.0,False,True,False
1486,Guzolândia,Pública,5.1,5.5,5.5,6.0,5.8,"5,8",6,"6,2","6,4",6º ao 9º ano,3518909.0,True,False,False
1491,Herculândia,Pública,5.8,6.3,6.3,5.7,5.6,"5,9","6,2","6,4","6,6",1º ao 5º ano,3519006.0,False,True,False
1496,Holambra,Municipal,6.7,7.3,7.2,6.3,7.0,"5,1","5,4","5,7","5,9",1º ao 5º ano,3519055.0,False,True,False
1497,Holambra,Pública,6.7,7.3,7.2,6.3,7.0,"5,1","5,4","5,7","5,9",1º ao 5º ano,3519055.0,False,True,False
1503,Hortolândia,Estadual,6.2,6.4,6.9,6.0,6.0,"5,7",6,"6,2","6,5",1º ao 5º ano,3519071.0,False,True,False
1504,Hortolândia,Estadual,4.8,4.9,5.0,5.3,5.3,"5,3","5,6","5,8",6,6º ao 9º ano,3519071.0,True,False,False
1505,Hortolândia,Municipal,6.5,6.9,7.0,6.2,6.4,"5,9","6,2","6,4","6,6",1º ao 5º ano,3519071.0,False,True,False
1506,Hortolândia,Pública,6.5,6.9,7.0,6.2,6.4,"5,9","6,1","6,4","6,6",1º ao 5º ano,3519071.0,False,True,False
1507,Hortolândia,Pública,4.8,4.9,5.0,5.3,5.3,"5,3","5,6","5,8",6,6º ao 9º ano,3519071.0,True,False,False
1512,Iacanga,Municipal,5.9,7.0,6.9,6.6,7.3,6,"6,2","6,5","6,7",1º ao 5º ano,3519105.0,False,True,False
1513,Iacanga,Pública,5.9,7.0,6.9,6.6,7.3,6,"6,2","6,5","6,7",1º ao 5º ano,3519105.0,False,True,False
1514,Iacanga,Pública,4.8,5.6,5.7,5.7,5.8,"4,9","5,2","5,4","5,7",6º ao 9º ano,3519105.0,True,False,False
1517,Iacri,Estadual,6.4,6.6,6.9,5.9,6.1,"5,9","6,1","6,4","6,6",1º ao 5º ano,3519204.0,False,True,False
1518,Iacri,Estadual,4.8,4.6,5.3,4.9,5.1,"5,6","5,9","6,1","6,3",6º ao 9º ano,3519204.0,True,False,False
1519,Iacri,Pública,6.4,6.6,6.9,5.9,6.1,"5,9","6,1","6,4","6,6",1º ao 5º ano,3519204.0,False,True,False
1520,Iacri,Pública,4.8,4.6,5.3,4.9,5.1,"5,6","5,9","6,1","6,3",6º ao 9º ano,3519204.0,True,False,False
1524,Iaras,Municipal,5.6,6.1,6.4,5.7,5.8,"5,2","5,5","5,8",6,1º ao 5º ano,3519253.0,False,True,False
1525,Iaras,Pública,5.5,6.1,6.4,5.7,5.8,"5,2","5,5","5,8",6,1º ao 5º ano,3519253.0,False,True,False
1529,Ibaté,Estadual,5.0,5.2,5.5,5.6,5.5,"5,2","5,4","5,7","5,9",6º ao 9º ano,3519303.0,True,False,False
1530,Ibaté,Municipal,6.2,6.8,7.0,6.3,6.5,"5,9","6,2","6,4","6,6",1º ao 5º ano,3519303.0,False,True,False
1531,Ibaté,Pública,6.2,6.8,7.0,6.3,6.5,"5,9","6,2","6,4","6,6",1º ao 5º ano,3519303.0,False,True,False
1532,Ibaté,Pública,5.0,5.2,5.5,5.6,5.5,"5,2","5,4","5,7","5,9",6º ao 9º ano,3519303.0,True,False,False
1535,Ibirá,Municipal,6.1,6.1,6.3,5.2,5.6,"5,6","5,8",6,"6,3",6º ao 9º ano,3519402.0,True,False,False
1536,Ibirá,Municipal,7.5,7.5,7.3,6.0,7.3,"6,2","6,4","6,7","6,9",1º ao 5º ano,3519402.0,False,True,False
1537,Ibirá,Pública,7.5,7.5,7.3,6.0,7.3,"6,2","6,4","6,7","6,9",1º ao 5º ano,3519402.0,False,True,False
1538,Ibirá,Pública,6.1,6.1,6.3,5.2,5.6,"5,6","5,8",6,"6,3",6º ao 9º ano,3519402.0,True,False,False
1542,Ibirarema,Municipal,6.3,6.6,6.4,5.6,6.4,"5,4","5,7","5,9","6,2",1º ao 5º ano,3519501.0,False,True,False
1543,Ibirarema,Pública,6.3,6.6,6.4,5.6,6.4,"5,4","5,7","5,9","6,2",1º ao 5º ano,3519501.0,False,True,False
1547,Ibitinga,Estadual,7.3,7.4,7.1,6.5,6.7,"6,1","6,4","6,6","6,8",1º ao 5º ano,3519600.0,False,True,False
1548,Ibitinga,Estadual,5.2,5.3,5.5,5.5,5.6,"5,5","5,7","5,9","6,2",6º ao 9º ano,3519600.0,True,False,False
1550,Ibitinga,Municipal,6.0,6.3,6.5,5.9,6.1,"5,8","6,1","6,3","6,5",1º ao 5º ano,3519600.0,False,True,False
