,NOME,FASE,TURMA,INSTITUICAO_ENSINO_ALUNO,SINALIZADOR_INGRESSANTE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPP,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,PONTO_VIRADA,IPV,IAN,NIVEL_IDEAL,DEFASAGEM,ANO
918,ALUNO-919,6.0,A,Escola Pública,Veterano,Ágata,6.517,7.5,3.9,7.5,5.5,7.8,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,6.8,10.0,Nível 6 (2o EM),0.0,2021
921,ALUNO-922,2.0,E,Escola Pública,Veterano,Ametista,7.475,8.5,6.7,6.3,5.6,8.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.5,10.0,Nível 2 (5o e 6o ano),0.0,2021
922,ALUNO-923,0.0,M,Escola Pública,Veterano,Ágata,5.91,8.0,8.3,5.0,3.9,6.6,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,5.0,5.0,Nível 1 (4o ano),-1.0,2021
925,ALUNO-926,2.0,I,Escola Pública,Veterano,Ametista,7.219,9.0,7.9,5.0,6.9,7.5,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.1,5.0,Nível 3 (7o e 8o ano),-1.0,2021
926,ALUNO-927,1.0,J,Escola Pública,Veterano,Ametista,7.247,7.4,8.8,7.5,4.7,8.1,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.8,5.0,Nível 2 (5o e 6o ano),-1.0,2021
929,ALUNO-930,5.0,A,Rede Decisão,Veterano,Topázio,8.355,10.0,8.3,7.5,9.0,8.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,9.3,5.0,Nível 6 (2o EM),-1.0,2021
930,ALUNO-931,1.0,G,Escola Pública,Veterano,Ametista,7.757,8.5,9.6,6.9,6.6,8.3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.2,5.0,Nível 2 (5o e 6o ano),-1.0,2021
931,ALUNO-932,3.0,B,Escola Pública,Veterano,Ametista,7.289,10.0,5.8,7.5,6.4,7.1,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,6.9,10.0,Nível 3 (7o e 8o ano),0.0,2021
936,ALUNO-937,2.0,G,Escola Pública,Ingressante,Topázio,8.581,10.0,8.3,7.5,8.3,8.1,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.4,10.0,Nível 2 (5o e 6o ano),0.0,2021
937,ALUNO-938,3.0,G,Rede Decisão,Veterano,Ágata,6.883,8.8,7.5,6.3,6.0,7.9,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Não,7.0,5.0,Nível 4 (9o ano),-1.0,2021
