,NOME,FASE,TURMA,INSTITUICAO_ENSINO_ALUNO,SINALIZADOR_INGRESSANTE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPP,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,PONTO_VIRADA,IPV,IAN,NIVEL_IDEAL,DEFASAGEM,ANO
1211,ALUNO-1212,1.0,G,Escola Pública,Ingressante,Ágata,5.703,9.0,4.2,6.3,3.3,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.2,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1213,ALUNO-1214,1.0,M,Escola Pública,Ingressante,Ametista,7.496,10.0,10.0,7.5,3.0,8.1,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,9.2,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1214,ALUNO-1215,1.0,B,Escola Pública,Ingressante,Ametista,7.401,9.5,10.0,2.5,6.3,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.4,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1216,ALUNO-1217,3.0,A,Rede Decisão,Veterano,Ametista,8.181,8.8,8.6,7.5,7.6,9.2,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.5,5.0,Nível 4 (9o ano),-1.0,2021
1218,ALUNO-1219,5.0,B,Rede Decisão,Veterano,Ametista,8.201,7.9,7.5,7.5,7.9,8.6,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,8.6,10.0,Nível 4 (9o ano),1.0,2021
1220,ALUNO-1221,2.0,N,Escola Pública,Ingressante,Topázio,8.618,9.0,10.0,7.5,8.0,9.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.4,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1222,ALUNO-1223,2.0,R,Escola Pública,Veterano,Ágata,6.779,6.8,8.3,8.1,4.7,8.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.8,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1225,ALUNO-1226,2.0,R,Escola Pública,Veterano,Ágata,6.621,5.3,8.3,8.1,4.7,8.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.8,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1227,ALUNO-1228,3.0,L,Escola Pública,Veterano,Quartzo,3.603,0.0,0.6,7.5,3.1,6.3,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2.5,10.0,Nível 3 (7o e 8o ano),0.0,2021
1228,ALUNO-1229,1.0,J,Escola Pública,Veterano,Ágata,5.588,9.5,5.8,4.4,0.7,8.1,Não avaliado,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.9,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1229,ALUNO-1230,4.0,G,Rede Decisão,Veterano,Ametista,7.714,7.1,8.6,6.9,5.8,8.1,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não,8.1,10.0,Nível 3 (7o e 8o ano),1.0,2021
1230,ALUNO-1231,2.0,E,Escola Pública,Veterano,Quartzo,4.133,0.0,1.7,6.3,3.1,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.5,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1231,ALUNO-1232,2.0,H,Escola Pública,Veterano,Quartzo,2.717,0.0,0.8,7.5,0.9,6.3,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2.5,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1232,ALUNO-1233,5.0,F,Rede Decisão,Veterano,Ametista,7.416,9.6,6.7,5.0,7.8,7.7,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não,6.5,10.0,Nível 5 (1o EM),0.0,2021
1233,ALUNO-1234,0.0,L,Escola Pública,Ingressante,Ametista,7.229,8.5,6.7,7.5,5.6,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.2,10.0,ALFA  (2o e 3o ano),0.0,2021
1236,ALUNO-1237,3.0,F,Escola Pública,Ingressante,Quartzo,4.372,6.7,2.2,7.5,2.3,7.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,4.2,5.0,Nível 4 (9o ano),-1.0,2021
1238,ALUNO-1239,1.0,R,Escola Pública,Ingressante,Ágata,5.574,8.5,5.8,7.5,2.0,7.3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.9,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1239,ALUNO-1240,2.0,K,Escola Pública,Ingressante,Ametista,6.917,7.4,7.9,7.5,4.3,7.9,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.5,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1241,ALUNO-1242,1.0,G,Escola Pública,Ingressante,Quartzo,5.507,7.4,4.6,7.5,2.4,8.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.6,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1243,ALUNO-1244,1.0,B,Escola Pública,Veterano,Ametista,7.389,10.0,8.8,7.5,5.8,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.4,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1247,ALUNO-1248,3.0,G,Rede Decisão,Veterano,Ágata,6.047,9.2,3.9,5.6,6.5,7.7,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,6.1,5.0,Nível 4 (9o ano),-1.0,2021
1249,ALUNO-1250,3.0,R,Escola Pública,Veterano,Ágata,6.343,6.7,5.8,6.9,5.8,7.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,7.1,5.0,Nível 4 (9o ano),-1.0,2021
1250,ALUNO-1251,3.0,M,Escola Pública,Veterano,Ametista,7.789,8.8,7.2,6.3,8.1,7.5,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,7.4,10.0,Nível 3 (7o e 8o ano),0.0,2021
1253,ALUNO-1254,3.0,C,Escola Pública,Veterano,Ametista,7.379,9.2,5.8,7.5,6.8,7.5,Promovido de Fase,Mantido na Fase + Bolsa,Mantido na Fase atual,Não avaliado,Não,7.2,10.0,Nível 3 (7o e 8o ano),0.0,2021
1255,ALUNO-1256,5.0,A,Escola Pública,Veterano,Ágata,6.541,9.2,7.5,7.5,3.6,7.7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,6.9,5.0,Nível 6 (2o EM),-1.0,2021
1259,ALUNO-1260,1.0,C,Escola Pública,Veterano,Ágata,6.163,9.0,5.0,7.5,3.9,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.3,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1263,ALUNO-1264,2.0,E,Escola Pública,Veterano,Ágata,6.254,8.0,4.2,8.1,3.1,7.3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.3,10.0,Nível 2 (5o e 6o ano),0.0,2021
1265,ALUNO-1266,3.0,R,Escola Pública,Ingressante,Quartzo,4.817,10.0,3.3,5.6,1.8,6.9,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não avaliado,Não,2.8,10.0,Nível 3 (7o e 8o ano),0.0,2021
1267,ALUNO-1268,1.0,A,Escola Pública,Ingressante,Ametista,6.978,8.0,7.5,7.5,5.0,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.4,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1274,ALUNO-1275,1.0,G,Escola Pública,Veterano,Topázio,8.468,9.5,9.6,7.5,7.8,8.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,9.8,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1277,ALUNO-1278,0.0,P,Escola Pública,Veterano,Ágata,5.671,8.0,4.2,7.5,4.6,6.3,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.2,5.0,Nível 2 (5o e 6o ano),-2.0,2021
1278,ALUNO-1279,5.0,L,Escola Pública,Ingressante,Quartzo,4.729,8.3,1.9,0.0,3.8,7.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,5.1,10.0,Nível 5 (1o EM),0.0,2021
1284,ALUNO-1285,1.0,J,Escola Pública,Veterano,Topázio,8.407,9.0,10.0,7.5,5.9,7.7,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,9.1,10.0,Nível 1 (4o ano),0.0,2021
1285,ALUNO-1286,0.0,K,Escola Pública,Ingressante,Ametista,8.015,10.0,8.3,7.5,6.5,7.8,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Não avaliado,Não,7.6,10.0,ALFA  (2o e 3o ano),0.0,2021
1286,ALUNO-1287,0.0,J,Escola Pública,Veterano,Ametista,7.546,8.0,10.0,7.5,5.3,7.5,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.4,5.0,Nível 2 (5o e 6o ano),-2.0,2021
1287,ALUNO-1288,7.0,A,Rede Decisão,Veterano,Ágata,6.787,8.8,7.2,5.6,5.8,6.7,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não,5.4,10.0,Nível 7 (3o EM),0.0,2021
1288,ALUNO-1289,2.0,L,Escola Pública,Veterano,Ágata,6.86,8.5,7.9,7.5,4.8,7.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.1,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1291,ALUNO-1292,3.0,A,Rede Decisão,Veterano,Topázio,8.614,9.6,9.7,7.5,6.7,8.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Não,8.7,10.0,Nível 3 (7o e 8o ano),0.0,2021
1295,ALUNO-1296,1.0,G,Escola Pública,Veterano,Ágata,6.844,9.5,8.8,7.5,3.5,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.2,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1297,ALUNO-1298,0.0,O,Escola Pública,Veterano,Ametista,7.521,10.0,8.3,7.5,6.4,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.8,5.0,Nível 1 (4o ano),-1.0,2021
1298,ALUNO-1299,7.0,A,Rede Decisão,Veterano,Ametista,7.936,7.1,8.3,7.5,7.2,8.3,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,7.8,10.0,Nível 7 (3o EM),0.0,2021
1299,ALUNO-1300,1.0,J,Escola Pública,Ingressante,Ametista,7.297,9.0,8.8,7.5,5.3,7.9,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,7.8,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1300,ALUNO-1301,3.0,D,Escola Pública,Ingressante,Ametista,7.983,9.6,7.5,7.5,6.0,8.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,8.7,10.0,Nível 3 (7o e 8o ano),0.0,2021
1301,ALUNO-1302,1.0,R,Escola Pública,Veterano,Quartzo,3.827,0.0,3.3,7.5,0.6,7.2,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.3,5.0,Nível 3 (7o e 8o ano),-2.0,2021
1306,ALUNO-1307,2.0,B,Escola Pública,Ingressante,Ametista,6.917,7.0,6.7,7.5,4.8,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.2,10.0,Nível 2 (5o e 6o ano),0.0,2021
1307,ALUNO-1308,3.0,D,Escola Pública,Ingressante,Quartzo,4.892,7.1,3.3,2.5,2.3,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.8,5.0,Nível 4 (9o ano),-1.0,2021
1309,ALUNO-1310,3.0,A,Escola Pública,Ingressante,Ágata,6.625,9.2,5.3,7.5,3.5,7.5,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.2,10.0,Nível 3 (7o e 8o ano),0.0,2021
1314,ALUNO-1315,2.0,B,Rede Decisão,Veterano,Quartzo,5.075,8.9,3.8,4.4,4.3,5.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.7,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1318,ALUNO-1319,2.0,R,Escola Pública,Veterano,Ametista,7.572,6.4,8.3,5.0,6.3,8.1,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.4,10.0,Nível 2 (5o e 6o ano),0.0,2021
1322,ALUNO-1323,2.0,N,Escola Pública,Veterano,Ametista,7.518,8.0,8.8,5.6,5.1,7.9,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.9,10.0,Nível 2 (5o e 6o ano),0.0,2021
1323,ALUNO-1324,2.0,J,Escola Pública,Veterano,Ametista,7.186,8.5,8.8,7.5,3.4,7.5,Alocado em Fase anterior,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.1,10.0,Nível 2 (5o e 6o ano),0.0,2021
1325,ALUNO-1326,2.0,K,Escola Pública,Veterano,Quartzo,4.396,9.0,3.8,5.6,1.3,6.9,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,3.7,5.0,Nível 4 (9o ano),-2.0,2021
1329,ALUNO-1330,4.0,E,Escola Pública,Veterano,Ametista,7.117,8.8,8.3,7.5,5.5,7.5,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,7.3,5.0,Nível 5 (1o EM),-1.0,2021
1331,ALUNO-1332,0.0,R,Escola Pública,Ingressante,Topázio,8.775,10.0,10.0,7.5,6.6,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Sim,9.8,10.0,ALFA  (2o e 3o ano),0.0,2021
1333,ALUNO-1334,0.0,T,Escola Pública,Ingressante,Topázio,8.821,8.5,10.0,7.5,7.4,8.1,Promovido de Fase,Promovido de Fase,Não avaliado,Não avaliado,Sim,9.7,10.0,ALFA  (2o e 3o ano),0.0,2021
1334,ALUNO-1335,2.0,G,Rede Decisão,Ingressante,Quartzo,4.831,0.0,3.8,7.5,3.4,6.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,4.9,10.0,Nível 2 (5o e 6o ano),0.0,2021
1337,ALUNO-1338,2.0,C,Escola Pública,Veterano,Ágata,6.511,7.9,2.1,7.5,5.2,7.7,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.7,10.0,Nível 2 (5o e 6o ano),0.0,2021
1342,ALUNO-1343,2.0,K,Escola Pública,Veterano,Quartzo,3.996,10.0,1.3,5.6,1.3,6.9,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,3.7,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1343,ALUNO-1344,2.0,R,Escola Pública,Veterano,Ágata,5.664,9.5,5.8,5.6,2.0,8.1,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.6,2.5,Nível 5 (1o EM),-3.0,2021
1344,ALUNO-1345,0.0,L,Escola Pública,Ingressante,Ágata,6.606,9.0,6.7,7.5,4.9,7.2,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.1,5.0,Nível 1 (4o ano),-1.0,2021
1347,ALUNO-1348,3.0,J,Rede Decisão,Veterano,Ametista,7.422,7.5,8.6,6.3,6.9,7.5,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Não,8.5,5.0,Nível 4 (9o ano),-1.0,2021
