;NOME;INSTITUICAO_ENSINO_ALUNO;IDADE_ALUNO;ANOS_PM;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO;FASE;TURMA
42;ALUNO-43;Escola Pública;13;2;Não;7.805209;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.5;7.5;7.5;7.0;7.96875;8.04167;10.0;2020;4;F
43;ALUNO-44;Escola Pública;9;0;Não;6.218335;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;6.8;7.5;0.0;6.25;7.916665;10.0;2020;1;M
44;ALUNO-45;Escola Pública;11;1;Não;6.631252;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;1.0;7.5;10.0;7.8125;7.75;5.0;2020;1;G
45;ALUNO-46;Escola Pública;8;0;Não;6.966669;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;10.0;7.5;0.0;7.5;7.583335;10.0;2020;0;C
50;ALUNO-51;Escola Pública;8;1;Não;8.955835;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;9.8;7.5;10.0;8.125;7.416665;10.0;2020;0;D
51;ALUNO-52;Escola Pública;10;2;Não;8.181112666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;8.6;6.25;7.0;7.916666666666668;8.22222;10.0;2020;2;F
52;ALUNO-53;Einstein;15;4;;8.696667999999999;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;10.0;7.5;8.2;0.0;0.0;10.0;2020;5;X
54;ALUNO-55;Rede Decisão/União;17;3;Sim;6.878125166666666;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;0.0;9.0;7.5;6.333333333333333;8.28125;8.666667499999999;5.0;2020;6;C
56;ALUNO-57;Rede Decisão/União;16;2;Não;7.311667166666667;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;7.1;6.25;5.833333333333333;7.5;7.5833325;10.0;2020;6;B
58;ALUNO-59;Escola Pública;13;0;Não;6.563055666666668;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75001;3.6;7.5;6.0;7.291666666666667;6.444439999999998;10.0;2020;3;E
59;ALUNO-60;Rede Decisão/União;17;4;Não;7.679582333333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;9.7;6.875;6.666666666666667;8.4375;8.124995;5.0;2020;5;F
60;ALUNO-61;Escola Pública;10;0;Não;5.604168666666667;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;6.5;7.5;0.0;6.875;7.333333333333333;5.0;2020;1;N
61;ALUNO-62;Escola Pública;12;0;Não;6.330001333333334;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.916679999999999;6.9;7.5;3.5;7.083333333333333;7.5;5.0;2020;2;L
67;ALUNO-68;Escola Pública;10;0;Não;5.988752;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;7.6;7.5;0.0;7.1875;8.0;5.0;2020;1;F
70;ALUNO-71;Escola Pública;10;1;Não;7.550001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;10.0;5.0;9.5;2.5;7.749995;5.0;2020;0;A
74;ALUNO-75;Rede Decisão/União;11;1;Sim;9.687504;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;10.0;10.0;9.0;9.375;9.75001;10.0;2020;3;L
75;ALUNO-76;Escola Pública;7;0;Não;8.958334;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.91668;10.0;10.0;10.0;7.5;6.58333;10.0;2020;0;B
77;ALUNO-78;Escola Pública;10;3;Não;7.352085;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;9.0;7.5;5.5;7.1875;7.666665;5.0;2020;1;A
79;ALUNO-80;Escola Pública;10;1;Não;6.499723333333334;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.91668;9.2;7.5;0.0;7.291666666666667;7.444443333333333;10.0;2020;2;N
80;ALUNO-81;Escola Pública;15;1;Sim;7.386391000000001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;5.41667;8.8;7.5;6.0;8.125;9.11112;5.0;2020;4;L
81;ALUNO-82;Escola Pública;9;0;Não;7.954169;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;10.0;7.5;8.5;6.875;7.333335;5.0;2020;0;D
